Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-JUN-2023,13640.8,13805.05,13634.7,13767.5,38003392,2496.69
03-JUL-2023,13796.55,13811.7,13597.4,13614,19856830,1534.46
04-JUL-2023,13683.15,13713.95,13578.35,13675.45,17808846,1271.37
05-JUL-2023,13726.25,13788.65,13682.85,13772,16922011,1704.4
06-JUL-2023,13769.4,13904.65,13759.75,13871.6,21699522,1846.58
07-JUL-2023,13800.4,13917.55,13730.35,13769,33461786,2302.41
10-JUL-2023,13811.15,13821,13705.35,13751.8,20959660,1559.41
11-JUL-2023,13795.55,13915.5,13780.45,13895.4,16313079,1425.24
12-JUL-2023,13918.2,13970.3,13873.75,13936.7,22345546,1809.38
13-JUL-2023,13979.4,13980.05,13841.45,13876.55,16425180,1358.22
14-JUL-2023,13931.75,13961.2,13852.9,13945.65,17781631,1503.27
17-JUL-2023,13979.4,14076.9,13973.95,14053.7,18237681,1469.41
18-JUL-2023,14063.6,14076.45,13926.8,14017.15,14829431,1265.4
19-JUL-2023,14026.35,14150.8,14000.6,14092.6,19633267,1680.28
20-JUL-2023,14137.85,14329.7,14111.4,14299.05,24869763,2718.88
21-JUL-2023,14295.6,14363.9,14229.85,14274,16113279,1539.51
24-JUL-2023,14261.25,14405.15,14236.2,14332.05,21208079,1655.25
25-JUL-2023,14406.8,14425.35,14345.95,14383.25,14983068,1500.59
26-JUL-2023,14423.3,14505.45,14378.45,14478.35,14203456,1364.82
27-JUL-2023,14658.7,15105.65,14601.05,14919.95,63186998,6082.86
28-JUL-2023,14908.95,15046.7,14883.45,14962.55,33384976,2726.45
31-JUL-2023,14935.6,15017.35,14918.25,14992.15,27774257,2286.78
01-AUG-2023,15016.85,15110.95,14961.8,15001.3,18639153,1665.69
02-AUG-2023,14997.9,15012.2,14831.9,14943.4,21450023,1905.97
03-AUG-2023,14925.85,15253.2,14922.35,15099.2,40804236,3817.92
04-AUG-2023,15098.55,15302.25,15079.25,15241,33968002,3393.7
07-AUG-2023,15276.05,15498.1,15214.85,15479.25,30636373,2995.18
08-AUG-2023,15555.3,15640.25,15478.35,15578.5,41615195,3829.76
09-AUG-2023,15631.55,15733.15,15594.95,15696.85,47958728,5831.03
10-AUG-2023,15711.4,15750.5,15513.65,15580.7,34017690,2904.33
11-AUG-2023,15591.45,15598.6,15340.45,15355.5,39776469,2786.53
14-AUG-2023,15349.8,15365.4,15207,15305.4,26959029,2583.58
16-AUG-2023,15289.5,15416,15192.25,15398.8,20634676,2161.75
17-AUG-2023,15406.3,15445.35,15324.7,15358.45,17135011,1881.27
18-AUG-2023,15363.55,15450.6,15229.5,15271.5,18409081,1986.68
21-AUG-2023,15262.55,15375.25,15241.05,15333.35,13238831,1295.38
22-AUG-2023,15334.55,15378.2,15262.25,15302.6,15543624,1509.75
23-AUG-2023,15344.6,15359.25,15266.2,15282.5,15124692,1875.14
24-AUG-2023,15326.95,15374.9,15171.65,15193.15,13896685,1672.73
25-AUG-2023,15173.2,15182.7,15000.05,15025.2,13728668,1606.93
28-AUG-2023,15052.8,15196.35,15024.1,15161.8,14700504,1539.25
29-AUG-2023,15208.65,15256.55,15100.2,15121.1,14336466,1665.82
30-AUG-2023,15178.9,15239.4,15102.6,15125.5,14328153,1603.59
31-AUG-2023,15162.2,15184.9,15034.25,15095.9,23282417,2795.54
01-SEP-2023,15125,15151.2,14991.6,15011.8,16528924,2025.35
04-SEP-2023,15063.3,15093.85,15007,15052.6,15071951,1522.63
05-SEP-2023,15099.35,15267.15,15052.6,15218.25,22553442,2190.11
06-SEP-2023,15279.7,15426,15218.25,15355.3,22681753,2439.13
07-SEP-2023,15372.75,15405.4,15283.6,15306.15,17970255,1881
08-SEP-2023,15327.3,15345.45,15206,15250.55,13862445,1291.63
11-SEP-2023,15265.35,15351.95,15248.15,15309.95,20835736,1910.29
12-SEP-2023,15358,15536.1,15275.55,15328.65,30491594,2767.54
13-SEP-2023,15368,15466.35,15321.6,15448.95,32836524,2698.17
14-SEP-2023,15484.35,15530.1,15413.1,15489.3,19297019,1750.56
15-SEP-2023,15525.55,15601.05,15513.85,15583.55,26630106,2328.56
18-SEP-2023,15593.8,15667.45,15482,15503.45,15133291,1445.31
20-SEP-2023,15498.75,15514.25,15426.1,15460.2,17776643,1700.21
21-SEP-2023,15432.85,15525.45,15282,15306.7,19728201,1902.49
22-SEP-2023,15279.35,15312.65,14980.45,15069.1,26497159,2337.88
25-SEP-2023,15049.4,15130.35,14986.05,15017.4,14354792,1265.01
26-SEP-2023,15032.9,15078.6,14964.4,14981.65,12500808,1267.14
27-SEP-2023,15038.4,15185.5,15001.35,15159.8,22311257,2119.25
28-SEP-2023,15195.7,15217.65,14983.35,15023.15,25060475,2039.13
29-SEP-2023,15112.1,15513.65,15108.55,15422.75,34937145,3393.03
03-OCT-2023,15425.65,15441.05,15260.65,15281.3,17485918,1759.43
04-OCT-2023,15243.45,15260.7,14985,15067.15,18063691,1603.84
05-OCT-2023,15097.2,15132.75,14988.75,15021.4,12487175,1392.5
06-OCT-2023,15086.8,15161.65,15082.05,15128.45,13415779,1310.24
09-OCT-2023,15002.7,15186.6,14993.05,15103.85,13029281,1386.43
10-OCT-2023,15114.25,15142.05,15055.3,15106.7,11768926,1077.3
11-OCT-2023,15136.75,15257.85,15136.45,15176.6,14391419,1608.81
12-OCT-2023,15243.8,15269.65,15137.05,15186.2,15167883,1621.77
13-OCT-2023,15106.45,15244.95,15093.8,15235.05,13321834,1241.35
16-OCT-2023,15230,15249.95,15147.15,15164.75,12828780,1223.04
17-OCT-2023,15222.6,15293.2,15162.5,15211.95,12514659,1209.89
18-OCT-2023,15231.9,15394.15,15212.65,15331.3,33577224,2820.59
19-OCT-2023,15296.3,15310.85,15191.95,15273.4,16492414,1543.12
20-OCT-2023,15239.15,15243.45,15070.05,15107.15,20329729,1438.45
23-OCT-2023,15060.7,15218,14882.05,14911.65,33988641,2438.93
25-OCT-2023,14969.35,14990.6,14754.8,14800.15,19617613,1965.31
26-OCT-2023,14751.5,14761.2,14544.25,14648.55,20038615,1729.98
27-OCT-2023,14706.5,14818.95,14667.95,14738.5,12512393,1304.05
30-OCT-2023,14786.65,14827.65,14687.4,14775.6,15361868,1756.62
31-OCT-2023,14826.75,14871.25,14629.2,14683.65,16552436,1762.68
01-NOV-2023,14727.15,14785.95,14642.6,14735.25,16363459,1597.1
02-NOV-2023,14820.95,14894.9,14803.85,14834.45,17642691,1924.22
03-NOV-2023,14921.65,14960.05,14864.85,14882.35,13891100,1511.83
06-NOV-2023,14934.45,15088.8,14929.85,15072.3,16585095,2116.09
07-NOV-2023,15078.8,15295.8,15045.4,15271.75,20119504,2706.45
08-NOV-2023,15335.85,15561.85,15314.4,15497.25,27393719,2922.84
09-NOV-2023,15558.65,15574.95,15444.6,15491.85,22245921,2264.3
10-NOV-2023,15491.7,15529.1,15386.3,15516.5,19746889,1967.83
12-NOV-2023,15576.45,15599.75,15539.85,15562.65,4094864,245.29
13-NOV-2023,15533.9,15607.85,15430.4,15497.15,22648268,1692.8
15-NOV-2023,15596.1,15600.75,15472.55,15516.25,20100965,1924.65
16-NOV-2023,15535.45,15715.25,15518.6,15651.1,20645707,1931.38
17-NOV-2023,15671.7,15821.25,15658.7,15804.5,15952200,1623.14
20-NOV-2023,15809.45,15950.8,15782.95,15806.75,20352925,2351.11
21-NOV-2023,15849.95,15997.6,15814.65,15968.9,13957871,1575.37
22-NOV-2023,16008.9,16175.25,15987.1,16069.8,22038977,2504.93
23-NOV-2023,16092.45,16094.55,15792,15817.45,19340863,2253.85
24-NOV-2023,15884.7,16046.75,15880.9,15954.5,28670736,2967.28
28-NOV-2023,15980.8,16006.5,15884.35,15900.3,16707352,1714.54
29-NOV-2023,15952.5,16016.6,15903.75,15990.1,20373289,1914.24
30-NOV-2023,15973.2,16279.1,15971.75,16238.9,32805583,3556.38
01-DEC-2023,16298.95,16385.35,16222.85,16257.05,15665872,1633.49
04-DEC-2023,16372.05,16389.1,16183.05,16228.4,17995955,1933.73
05-DEC-2023,16248.2,16304.8,16174.15,16229.65,15020952,1693.47
06-DEC-2023,16297.4,16356.65,16106.95,16169.55,17480050,2073.19
07-DEC-2023,16163.3,16305.9,16137.5,16294.2,19038799,2221.01
08-DEC-2023,16311.05,16365.6,16079.3,16163.15,18025471,1755.55
11-DEC-2023,16077.9,16089.95,15909.55,16039.9,17800565,2560.87
12-DEC-2023,16109.8,16167.95,15914.3,15963.5,17426548,2141.88
13-DEC-2023,15986.85,16168.55,15938.75,16142.4,20396184,2118.88
14-DEC-2023,16202.3,16210.7,16089.75,16155.7,20964221,2129.86
15-DEC-2023,16250.9,16258.3,16150.5,16179.8,23257151,3114.22
18-DEC-2023,16196.4,16438.75,16161.6,16332.15,31498845,2859.93
19-DEC-2023,16407.8,16433.8,16228.3,16391.25,19402788,1738.19
20-DEC-2023,16461.75,16467.8,16086,16121.25,23821318,2298.03
21-DEC-2023,16048.4,16278.2,15868.15,16238.15,19771028,2089.6
22-DEC-2023,16312.5,16500.9,16281.45,16394.35,29445887,2735.12
26-DEC-2023,16418.6,16580.65,16385.7,16562.6,24416106,2276.26
27-DEC-2023,16609,16690.9,16530.45,16655.95,20504756,2248.73
28-DEC-2023,16698.1,16894.1,16617.35,16860.85,28726227,3380.94
29-DEC-2023,16878.95,16909.1,16769.5,16831.8,15391603,1728.19
01-JAN-2024,16859.5,16914.1,16819,16858.75,20454620,1528.05
02-JAN-2024,16903.95,17301.4,16878.5,17274.3,52400796,4944.46
03-JAN-2024,17311.85,17423.45,17241.05,17379.8,45015536,2967.43
04-JAN-2024,17426.5,17529.85,17326.75,17413.2,23777930,2490.09
05-JAN-2024,17483.5,17484.6,17241.1,17358.6,25736051,2234.29
08-JAN-2024,17435.8,17438.45,17162,17195.95,18527105,1686.18
09-JAN-2024,17319.25,17414.8,17240.35,17346.3,13718842,1606.9
10-JAN-2024,17401.05,17476,17271.65,17401.9,18500852,2261.43
11-JAN-2024,17449.4,17470.75,17331.15,17380.55,14500294,1920.35
12-JAN-2024,17427,17430.15,17271.4,17347.45,16536635,1741.42
15-JAN-2024,17423.25,17603.85,17334.15,17520.45,22313070,2182.4
16-JAN-2024,17526.95,17531.85,17235.7,17320.15,25981997,1991.24
17-JAN-2024,17285.35,17319.7,17130.45,17154,21665785,2215.45
18-JAN-2024,17128.35,17382.35,16818.7,17331.25,22609462,2426.69
19-JAN-2024,17416.45,17460.55,17308.1,17388,16428428,1737.77
20-JAN-2024,17454.3,17481.65,17212.75,17233.8,7454033,689.64
23-JAN-2024,17361.95,17689.95,17347.35,17520.3,32186640,3544.48
24-JAN-2024,17557.05,17796,17431.6,17763.7,24343121,2777.9
25-JAN-2024,17721.05,17738.9,17438.9,17532.55,40101532,3024.89
29-JAN-2024,17511.35,17676.9,17432.45,17623.6,20436678,2389.65
30-JAN-2024,17674,17750.5,17452.7,17470.15,15607826,1917.79
31-JAN-2024,17463.3,18003.15,17451.25,17938.65,29613792,4080.72
01-FEB-2024,18004.6,18053.1,17734.75,17839.2,30756629,3488.85
02-FEB-2024,17885.35,18084.7,17884.7,17972.1,19858444,2419.24
05-FEB-2024,18034.2,18379.8,17979.55,18292.95,35021232,3691.86
06-FEB-2024,18301.3,18533.7,18286.9,18488.05,43955705,3560.84
07-FEB-2024,18597.85,18640.8,18440.65,18564.85,32258499,3184.93
08-FEB-2024,18716.75,18729.65,18493.55,18520.3,25845882,3302.73
09-FEB-2024,18569.15,18666.2,18391.2,18617.1,38487243,3644.41
12-FEB-2024,18685.65,18850.3,18605.2,18669.55,34564587,4122.06
13-FEB-2024,18705.15,18780.05,18619.35,18753.95,23249726,2876.47
14-FEB-2024,18714.45,18715.7,18398.3,18584.35,25481697,2792.23
15-FEB-2024,18627.7,18694.25,18516.25,18567.7,24878336,2734.42
16-FEB-2024,18648.5,18958.85,18621,18870.8,58210422,5415.29
19-FEB-2024,18938.7,19079.3,18897.2,19037.7,49978047,3127.07
20-FEB-2024,19059.55,19076.8,18802.2,18993,30848886,2744.81
21-FEB-2024,19015.75,19061.35,18830.1,18916.45,19920678,2007.08
22-FEB-2024,18999.85,19002.85,18755.65,18969.45,16426959,1950.54
23-FEB-2024,18984.95,19134.8,18957.75,19048.4,17348225,1843.66
26-FEB-2024,19065.05,19119.3,18797.25,18956.45,21964403,3296.14
27-FEB-2024,18946.45,19075.85,18897.45,19064.2,21569506,2164.38
28-FEB-2024,19094.4,19112.05,18874.55,18942.55,18650672,1743.37
29-FEB-2024,18930.65,19056.45,18761.25,19003.15,30622163,4079.15
01-MAR-2024,19058,19060.45,18796.9,18822.3,22106710,2661.08
02-MAR-2024,18946.6,18984.9,18836,18905.55,2590618,225.15
04-MAR-2024,18933.9,19158.7,18933.7,18960.2,35839834,3008.64
05-MAR-2024,18965.25,19033,18833.85,19018.5,17565926,1786.41
06-MAR-2024,19022.9,19172.35,18811.3,19140,22859899,2429.34
07-MAR-2024,19158.15,19277.7,19123.1,19194.1,22676946,2240.87
11-MAR-2024,19313.2,19397.25,19173.8,19202.05,21482855,2579.69
12-MAR-2024,19219.3,19322.55,18910.65,18958.7,17064591,1865.49
13-MAR-2024,18961.2,19022.2,18495,18635.7,25027543,2511.48
14-MAR-2024,18632.05,18919.6,18517.6,18897.1,21832321,2513
15-MAR-2024,18876.8,18916.2,18588.85,18718.45,25159497,2619.43
18-MAR-2024,18713.4,18851.7,18637.35,18814.35,16468513,1777.16
19-MAR-2024,18820.85,18833.35,18370.3,18405.65,17045282,2111.36
20-MAR-2024,18463.1,18497.65,18189.95,18361.4,19088828,2196.55
21-MAR-2024,18494,18611.55,18366.85,18582.6,18543679,2045.74
22-MAR-2024,18594.75,18881.25,18583.75,18815.6,21427168,2429.73
26-MAR-2024,18690.1,18890.3,18684.8,18809.45,23818040,2459.47
27-MAR-2024,18880.95,18913.15,18729.75,18768.4,21349521,2219.21
28-MAR-2024,18824.2,19082.05,18773.95,18996.15,27270481,3609.99
01-APR-2024,19147.5,19234.2,19091.55,19207.9,15683638,1934.72
02-APR-2024,19235.15,19237.75,19124.55,19185.15,14635872,1808.92
03-APR-2024,19172.7,19272.65,19058.4,19153.05,25736421,2616.98
04-APR-2024,19220.7,19222,18952.65,19125.2,19275964,2590.81
05-APR-2024,19084.2,19395.55,19076.6,19160.75,19821042,2652.22
08-APR-2024,19246.5,19288.45,19138.2,19218.85,21521776,2365.91
09-APR-2024,19275.85,19286,19138.2,19182.3,31028591,4356.48
10-APR-2024,19210.2,19225.4,19070.25,19117,32900516,2934.76
12-APR-2024,19068.2,19113.55,18765.8,18788.65,32400478,3698.25
15-APR-2024,18613.75,18685.4,18545.55,18617.65,22073466,2388.53
16-APR-2024,18571.9,18726.75,18525.8,18695.6,18287460,2071.93
18-APR-2024,18790.4,18815.6,18479.2,18525.75,28575610,3325.84
19-APR-2024,18413.5,18470.45,18298.25,18404.6,18901713,2187.9
22-APR-2024,18512.45,18691.65,18500.1,18643,20366152,2060.12
23-APR-2024,18781.75,18788.6,18444.9,18463.75,29261430,3194.66
24-APR-2024,18508.9,18643.15,18490.5,18586.2,44326150,3554.88
25-APR-2024,18631.85,18907.45,18605.1,18878.15,27269535,3216.19
26-APR-2024,18937.55,19056.7,18891.5,18994.65,64395175,3642.86
29-APR-2024,19096.7,19153.2,18998.05,19096.9,30387905,2491.91
30-APR-2024,19168.8,19222.3,18938.85,18970.6,20955688,2263.05
02-MAY-2024,18991.55,19182.4,18990.45,19124.45,29279494,2815.76
03-MAY-2024,19203.85,19267.15,19057.3,19133.4,22946191,2575.64
06-MAY-2024,19193.9,19228.3,18969.5,19203.3,18285044,2270.87
07-MAY-2024,19264.95,19270,18703.85,18846.3,25453679,2738.17
08-MAY-2024,18739.95,18885.55,18613.45,18850.85,22698635,2587.85
09-MAY-2024,18870.15,18920.3,18406.65,18437.05,21623735,2179.11
10-MAY-2024,18469.6,18699.85,18449.7,18609.45,23062013,2358.42
13-MAY-2024,18680.1,18971.75,18638.6,18939,27623699,3326.23
14-MAY-2024,18956.75,18978.75,18795.15,18860.85,20324305,2264.02
15-MAY-2024,18952,19032.85,18857.55,18886.55,37039207,3169.96
16-MAY-2024,18961.4,19024.35,18727.25,18996.15,26942401,3443.85
17-MAY-2024,19028.5,19039.65,18933.55,18981.6,27533993,2822.97
18-MAY-2024,19057.45,19155.4,19054.5,19108,2496298,207.61
21-MAY-2024,19080.5,19280.55,19021.55,19205.2,24380988,3085.23
22-MAY-2024,19305.9,19422.2,19051.55,19317.4,29246925,3641.44
23-MAY-2024,19285.45,19285.45,18994.3,19216.35,41527087,5195.84
24-MAY-2024,19252.15,19256.85,19094.35,19119.5,52040694,3947.36
27-MAY-2024,19258.15,19313.4,19070.05,19111.95,41904535,5516.01
28-MAY-2024,19171.3,19341.8,19131.2,19215.75,34224644,4399.97
29-MAY-2024,19208.5,19415,19150.2,19321.35,25221431,3379.82
30-MAY-2024,19274.35,19287.75,18910.8,18971,27119775,3693.1
31-MAY-2024,19015.5,19067.15,18732.35,18796.3,48740806,7849.74
03-JUN-2024,19206.9,19213,18831.05,18864.15,24355853,2908.35
04-JUN-2024,18942.4,18977.8,17904.75,18603.15,43810941,4315.43
05-JUN-2024,18789.75,19354.8,18655.9,19281.25,31637560,3638.35
06-JUN-2024,19365.55,19365.6,19056.75,19232.1,40199445,3475.8
07-JUN-2024,19297.95,19596.7,19270.1,19578,35878807,3715.14
10-JUN-2024,19696.55,19809.9,19629.85,19774.7,26328293,3408.79
11-JUN-2024,19853.65,19868.45,19666.15,19689.7,22222915,2535.9
12-JUN-2024,19763.15,19794.05,19658.05,19739.1,16038945,1964.21
13-JUN-2024,19842.55,19878.25,19706.55,19838.5,15582684,2499.74
14-JUN-2024,19860.25,19918.65,19821.4,19895.65,17238165,2077.33
18-JUN-2024,19907.5,19927.9,19710.9,19826.65,26093537,3333.48
19-JUN-2024,19894.65,19904.5,19618.25,19644.5,21648813,2681.53
20-JUN-2024,19594.75,19606.85,19477.7,19544.55,21838787,2518.9
21-JUN-2024,19593.75,19757.75,19491.5,19528.4,34671904,3564.86
24-JUN-2024,19511.85,19627.15,19442.45,19521.15,23369134,2727.86
25-JUN-2024,19579.9,19630.6,19455.85,19532.3,15140389,2109.13
26-JUN-2024,19528.85,19601.4,19433.35,19545.35,26775476,2801.27
27-JUN-2024,19549.05,19631.15,19414.9,19514.8,32816996,5512.29
28-JUN-2024,19557.65,19797.9,19555.65,19731.55,23365972,3183.02
