Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-JUN-2023,519.4,522.55,518.15,520,19757376,527.03
03-JUL-2023,519.65,525.5,518.5,523.9,10735957,416.15
04-JUL-2023,525.65,528.5,521.6,522.95,13217570,612.37
05-JUL-2023,524.1,527.8,518.4,525.9,11884855,575.52
06-JUL-2023,529.2,541.5,528.8,537.75,30529059,1294.44
07-JUL-2023,538.9,542.35,529.9,531.4,20907870,817.9
10-JUL-2023,532.85,533.1,525.1,526.9,11479201,366.43
11-JUL-2023,527.6,529.7,525.9,526.85,15006977,439.3
12-JUL-2023,528.45,529.7,522.05,528.2,13058208,541.57
13-JUL-2023,530.35,541.1,528.95,533.6,30003526,1648.71
14-JUL-2023,536.15,541.45,535.75,539.8,12801882,791.55
17-JUL-2023,540.9,541.7,537.25,539.65,40469354,722.8
18-JUL-2023,541.3,542.9,533.55,535.05,19732971,458.64
19-JUL-2023,536.2,539.5,535.4,536.15,12091218,352.41
20-JUL-2023,537.45,539.4,534.2,536.3,19279424,509.45
21-JUL-2023,533.95,538.9,531.3,536.1,15007415,597.28
24-JUL-2023,537.15,542.7,534,537.15,17766575,707.84
25-JUL-2023,539.25,542.65,533.55,535,15305505,700.26
26-JUL-2023,536.7,542.2,536.05,541.35,19964672,944.3
27-JUL-2023,543.35,554.05,542.7,552.85,19432176,871.2
28-JUL-2023,549.8,564.25,548.85,562.95,41295908,1403.47
31-JUL-2023,563.9,568.8,563.05,566.75,18727535,610.16
01-AUG-2023,565.1,565.1,555.05,556.7,27530369,1273.64
02-AUG-2023,553.5,561.65,541.65,548.4,38253242,1360.33
03-AUG-2023,548.35,548.5,535,538.65,25001037,910.62
04-AUG-2023,540.75,542.5,536.95,539.15,20427482,631.24
07-AUG-2023,539.45,543.45,538.7,542.3,15118808,560.04
08-AUG-2023,543.5,546.3,538.1,541.35,12288769,550.07
09-AUG-2023,542.6,544.1,533.15,534.65,15455024,603.73
10-AUG-2023,537.4,537.95,530.4,533.25,15224822,606.18
11-AUG-2023,535.4,536.6,529.55,531.15,13110746,395.07
14-AUG-2023,530.6,530.65,520.8,527.65,16061241,595.05
16-AUG-2023,527.6,534.75,525.1,533.45,10802438,482.76
17-AUG-2023,534,537,531.8,534.1,12257697,428.89
